Unnamed: 0,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Link,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td,Coll_rec_yds_per_rec
2,1,CAR,Bryce Young,QB,22,2024.0,0,0,1,14.0,14.0,30.0,549.0,911.0,5280.0,26.0,19.0,82.0,502.0,6.0,0.0,0.0,0.0,,,,Alabama,http://www.sports-reference.com/cfb/players/bryce-young-1.html,35.0,624.0,949.0,65.8,8356.0,80.0,8.4,12.0,1.3,8.8,9.92,13.4,238.7,165.0,139.0,162.0,1.2,7.0,4.6,0.0,0.0,0.0,0.0,139.0,162.0,1.2,7.0,
3,2,HOU,C.J. Stroud,QB,21,2024.0,0,1,2,24.0,24.0,32.0,655.0,1031.0,7835.0,43.0,17.0,91.0,400.0,3.0,1.0,0.0,0.0,,,,Ohio St.,http://www.sports-reference.com/cfb/players/cj-stroud-1.html,27.0,575.0,830.0,69.3,8123.0,85.0,10.2,12.0,1.4,9.8,11.18,14.1,300.9,182.4,80.0,136.0,1.7,1.0,5.0,0.0,0.0,0.0,0.0,80.0,136.0,1.7,1.0,
5,4,IND,Anthony Richardson,QB,21,2024.0,0,0,1,9.0,9.0,15.0,176.0,348.0,2391.0,11.0,13.0,111.0,635.0,10.0,1.0,-1.0,0.0,,,,Florida,http://www.sports-reference.com/cfb/players/anthony-richardson-2.html,24.0,215.0,393.0,54.7,3105.0,24.0,6.1,15.0,3.8,7.9,7.4,14.4,129.4,133.6,161.0,1116.0,6.9,12.0,46.5,0.0,0.0,0.0,0.0,161.0,1116.0,6.9,12.0,
34,33,TEN,Will Levis,QB,24,2024.0,0,0,2,11.0,11.0,21.0,339.0,556.0,3899.0,21.0,16.0,70.0,240.0,1.0,0.0,0.0,0.0,,,,Kentucky,http://www.sports-reference.com/cfb/players/will-levis-1.html,39.0,479.0,738.0,64.9,5877.0,46.0,6.2,25.0,3.4,8.0,7.69,12.3,150.7,145.6,312.0,742.0,2.4,17.0,19.0,1.0,15.0,0.0,0.4,313.0,757.0,2.4,17.0,15.0
69,68,DET,Hendon Hooker,QB,25,2024.0,0,0,0,0.0,0.0,3.0,6.0,9.0,62.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,,,,Tennessee,http://www.sports-reference.com/cfb/players/hendon-hooker-1.html,49.0,632.0,944.0,66.9,8974.0,80.0,8.5,12.0,1.3,9.5,10.63,14.2,183.1,172.2,517.0,2079.0,4.0,25.0,42.4,1.0,12.0,0.0,0.2,518.0,2091.0,4.0,25.0,12.0
128,127,NOR,Jake Haener,QB,24,2024.0,0,0,0,1.0,1.0,8.0,18.0,39.0,226.0,1.0,1.0,11.0,22.0,0.0,0.0,0.0,0.0,,,,Fresno St.,http://www.sports-reference.com/cfb/players/jake-haener-1.html,33.0,740.0,1085.0,68.2,9120.0,68.0,6.3,18.0,1.7,8.4,8.91,12.3,276.4,156.2,175.0,-96.0,-0.5,8.0,-2.9,1.0,-8.0,0.0,-0.2,176.0,-104.0,-0.6,8.0,-8.0
129,128,LAR,Stetson Bennett,QB,25,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,http://www.sports-reference.com/cfb/players/stetson-bennett-1.html,42.0,601.0,923.0,65.1,8429.0,66.0,7.2,21.0,2.3,9.1,9.54,14.0,200.7,160.9,141.0,530.0,3.8,14.0,12.6,0.0,0.0,1.0,0.0,141.0,530.0,3.8,15.0,
136,135,LVR,Aidan O'Connell,QB,25,2024.0,0,0,1,10.0,10.0,20.0,367.0,586.0,3830.0,20.0,11.0,38.0,41.0,2.0,0.0,0.0,0.0,,,,Purdue,http://www.sports-reference.com/cfb/players/aidan-oconnell-1.html,33.0,826.0,1238.0,66.7,9219.0,65.0,5.3,30.0,2.4,7.4,7.41,11.2,279.4,141.8,95.0,-274.0,-2.9,2.0,-8.3,0.0,0.0,0.0,0.0,95.0,-274.0,-2.9,2.0,
140,139,ARI,Clayton Tune,QB,24,2024.0,0,0,0,0.0,0.0,13.0,14.0,23.0,70.0,0.0,2.0,15.0,26.0,1.0,0.0,0.0,0.0,,,,Houston,http://www.sports-reference.com/cfb/players/clayton-tune-1.html,47.0,956.0,1498.0,63.8,11996.0,104.0,6.9,41.0,2.7,8.0,8.16,12.5,255.2,148.5,412.0,1251.0,3.0,15.0,26.6,1.0,21.0,0.0,0.4,413.0,1272.0,3.1,15.0,21.0
141,140,CLE,Dorian Thompson-Robinson,QB,23,2024.0,0,0,0,2.0,2.0,15.0,121.0,230.0,880.0,1.0,10.0,35.0,187.0,0.0,0.0,0.0,0.0,,,,UCLA,http://www.sports-reference.com/cfb/players/dorian-thompson-robinson-1.html,50.0,860.0,1359.0,63.3,10710.0,88.0,6.5,36.0,2.6,7.9,7.98,12.5,214.2,145.6,471.0,1826.0,3.9,28.0,36.5,0.0,0.0,0.0,0.0,471.0,1826.0,3.9,28.0,
150,149,GNB,Sean Clifford,QB,25,2023.0,0,0,0,0.0,0.0,2.0,1.0,1.0,37.0,0.0,0.0,3.0,-2.0,0.0,0.0,0.0,0.0,,,,Penn St.,http://www.sports-reference.com/cfb/players/sean-clifford-1.html,51.0,833.0,1356.0,61.4,10661.0,86.0,6.3,31.0,2.3,7.9,8.1,12.8,209.0,143.8,388.0,1073.0,2.8,15.0,21.0,2.0,24.0,0.0,0.5,390.0,1097.0,2.8,15.0,12.0
165,164,MIN,Jaren Hall,QB,25,2023.0,0,0,0,1.0,1.0,3.0,13.0,20.0,168.0,0.0,1.0,6.0,14.0,0.0,0.0,0.0,0.0,,,,BYU,http://www.sports-reference.com/cfb/players/jaren-hall-1.html,31.0,468.0,718.0,65.2,6174.0,52.0,7.2,11.0,1.5,8.6,9.36,13.2,199.2,158.2,181.0,800.0,4.4,9.0,25.8,4.0,41.0,1.0,1.3,185.0,841.0,4.5,10.0,10.3
